                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96079,                 6.2569,                 1.2621,                0.20462,                0.78571,                  0.239,                0.18633,                0.74874,                 4.6777,                  1.336,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                0.87958,                 3.9808,                 1.2413,                0.84724,                0.28571,                0.41828,                0.35686,                 0.7772,                  3.392,                 1.2562,             0.00013728,             0.00013728,             0.00013728
                      3,                0.91266,                 2.9981,                  1.356,                 0.7723,                0.35714,                0.66171,                 0.5757,                0.67177,                 3.1193,                 1.1665,              0.0002002,              0.0002002,              0.0002002
                      4,                0.83709,                 2.5981,                 1.1888,                0.91894,                0.42857,                0.79506,                0.70467,                0.62737,                 2.3726,                 1.0797,             0.00025542,             0.00025542,             0.00025542
                      5,                0.87329,                 1.9499,                 1.1845,                0.82424,                      1,                0.98625,                0.84948,                0.77585,                 1.9684,                 1.1223,             0.00030295,             0.00030295,             0.00030295
                      6,                0.81166,                  1.723,                 1.1423,                0.92485,                      1,                  0.995,                0.86175,                0.72819,                 1.5053,                 1.1922,             0.00034277,             0.00034277,             0.00034277
                      7,                0.89769,                 1.6705,                 1.2181,                0.94258,                      1,                  0.995,                0.79243,                0.96089,                 1.3906,                 1.3863,              0.0003749,              0.0003749,              0.0003749
                      8,                0.82243,                  1.521,                 1.1456,                0.87463,                      1,                  0.995,                0.80177,                0.97227,                 1.3629,                 1.2787,             0.00039932,             0.00039932,             0.00039932
                      9,                0.74557,                   1.28,                 1.1143,                0.93785,                      1,                  0.995,                0.86742,                 0.7469,                 1.0436,                 1.1163,             0.00041605,             0.00041605,             0.00041605
                     10,                0.92619,                 1.3866,                 1.2233,                0.90608,                      1,                  0.995,                0.80758,                0.83604,                 1.0909,                 1.1417,             0.00042507,             0.00042507,             0.00042507
                     11,                0.68037,                  2.422,                0.94285,                0.92443,                0.99964,                  0.995,                0.79872,                0.84025,                  1.097,                 1.1356,              0.0004264,              0.0004264,              0.0004264
                     12,                0.65346,                 2.1993,                0.90658,                0.84924,                 0.9052,                 0.9288,                0.72557,                0.98267,                 1.5133,                 1.3766,             0.00042003,             0.00042003,             0.00042003
                     13,                0.80953,                 1.3454,                 1.2335,                0.84204,                0.90406,                 0.9565,                0.71097,                 1.0559,                 1.4771,                 1.4318,             0.00040596,             0.00040596,             0.00040596
                     14,                0.79417,                 1.3269,                 1.1318,                0.82119,                0.90276,                0.96389,                0.72439,                 1.0775,                 1.4402,                  1.438,             0.00038419,             0.00038419,             0.00038419
                     15,                0.66663,                 2.0276,                 1.0005,                0.82185,                0.92857,                  0.964,                0.76837,                0.95202,                 1.1838,                 1.2943,             0.00034108,             0.00034108,             0.00034108
                     16,                0.70108,                 1.1021,                  1.126,                0.93832,                0.96239,                  0.995,                0.79594,                0.88568,                 1.0258,                 1.2603,             0.00034108,             0.00034108,             0.00034108
                     17,                0.68386,                 1.0178,                 1.1194,                0.88884,                0.94993,                  0.995,                0.78255,                0.93225,                 0.9736,                  1.311,             0.00028608,             0.00028608,             0.00028608
                     18,                0.61043,                 1.4749,                0.95019,                0.93841,                0.95162,                  0.995,                0.76636,                0.99078,                0.95409,                 1.3487,             0.00023109,             0.00023109,             0.00023109
                     19,                0.79899,                 1.0089,                 1.1472,                0.88537,                0.88922,                  0.995,                0.71937,                0.93692,                 1.0235,                 1.2761,             0.00017609,             0.00017609,             0.00017609
                     20,                0.73474,                  1.257,                  1.158,                0.84662,                0.93609,                  0.995,                 0.7642,                0.87471,                0.96705,                 1.2474,              0.0001211,              0.0001211,              0.0001211
