                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91784,                 0.8819,                 1.1013,                0.71314,                0.78199,                0.76656,                0.60957,                0.89139,                0.82602,                  1.029,             0.00023331,             0.00023331,             0.00023331
                      2,                0.89108,                0.83036,                 1.0891,                0.78386,                0.70578,                0.74592,                0.59892,                0.85199,                 0.8275,                 1.0096,             0.00045408,             0.00045408,             0.00045408
                      3,                0.90164,                0.79041,                 1.0765,                0.73612,                0.78541,                0.79141,                0.63148,                0.88242,                0.84706,                 1.0005,             0.00065066,             0.00065066,             0.00065066
                      4,                0.92524,                0.84351,                 1.0795,                0.68999,                0.75964,                0.74829,                0.57313,                0.92183,                0.91226,                 1.0157,             0.00082303,             0.00082303,             0.00082303
                      5,                0.95141,                0.82186,                 1.0904,                0.76454,                0.81478,                0.84565,                0.65766,                0.85965,                0.77768,                0.99986,             0.00089102,             0.00089102,             0.00089102
                      6,                0.92021,                0.78928,                 1.0871,                0.72533,                0.66585,                0.72167,                0.52899,                0.91938,                0.94124,                 1.0444,             0.00089102,             0.00089102,             0.00089102
                      7,                0.90089,                0.77246,                 1.0676,                0.69774,                 0.7302,                0.78753,                0.61054,                0.87047,                0.82897,                0.98801,             0.00083603,             0.00083603,             0.00083603
                      8,                0.93666,                0.75441,                  1.088,                0.74435,                0.75962,                0.76121,                0.58945,                0.89881,                0.82768,                 1.0196,             0.00078103,             0.00078103,             0.00078103
                      9,                0.87618,                0.75784,                  1.065,                0.70641,                0.72586,                 0.7799,                 0.5972,                0.92788,                0.84037,                 1.0605,             0.00072604,             0.00072604,             0.00072604
                     10,                0.86022,                0.71612,                  1.052,                0.67505,                0.69351,                0.72975,                0.56991,                0.92386,                 0.9368,                  1.041,             0.00067104,             0.00067104,             0.00067104
                     11,                0.82992,                0.70915,                 1.0059,                0.79099,                0.75891,                0.85972,                0.64718,                0.93407,                0.95964,                 1.0494,             0.00061605,             0.00061605,             0.00061605
                     12,                0.81243,                0.63511,                 1.0028,                0.73004,                0.76172,                0.82583,                0.64737,                0.85287,                0.83961,                0.98193,             0.00056105,             0.00056105,             0.00056105
                     13,                0.78204,                0.59931,                      1,                0.67142,                0.79023,                0.80191,                0.60803,                 0.9089,                0.87462,                 1.0213,             0.00050606,             0.00050606,             0.00050606
                     14,                0.77398,                0.57475,                0.96237,                0.70464,                0.80308,                0.80342,                0.60445,                0.89973,                0.82583,                 1.0668,             0.00045107,             0.00045107,             0.00045107
                     15,                0.76031,                0.56289,                0.97557,                0.76865,                0.76472,                0.80939,                0.61865,                0.92178,                0.77626,                 1.0632,             0.00039607,             0.00039607,             0.00039607
                     16,                0.74681,                0.53904,                  0.965,                0.81225,                0.81838,                0.82341,                0.63477,                0.84543,                0.74339,                 1.0078,             0.00034108,             0.00034108,             0.00034108
                     17,                0.70737,                0.50455,                 0.9437,                0.82073,                0.80898,                0.85699,                0.66491,                0.81713,                0.70738,                0.98898,             0.00028608,             0.00028608,             0.00028608
                     18,                0.70775,                0.51234,                0.95382,                0.78262,                0.82432,                0.85709,                0.68152,                0.79324,                  0.723,                0.96814,             0.00023109,             0.00023109,             0.00023109
                     19,                0.66857,                0.48282,                0.93818,                0.82633,                0.82072,                0.86931,                0.68503,                0.81179,                0.69289,                0.96942,             0.00017609,             0.00017609,             0.00017609
                     20,                0.65112,                0.45744,                0.93816,                0.75364,                0.84104,                0.85092,                0.66571,                0.80822,                0.67026,                0.96475,              0.0001211,              0.0001211,              0.0001211
