                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.7161,                0.56256,                 1.0485,                0.77268,                0.84756,                0.87417,                0.69861,                0.80491,                0.67848,                 1.1143,             0.00073704,             0.00073704,             0.00073704
                     37,                0.67201,                0.52723,                 1.0277,                0.81847,                0.81466,                0.87033,                0.69785,                0.86759,                0.74547,                 1.1677,             0.00072604,             0.00072604,             0.00072604
                     38,                0.69235,                0.54922,                 1.0234,                0.82618,                0.81862,                0.90125,                0.74942,                0.70408,                0.64292,                 1.0444,             0.00071504,             0.00071504,             0.00071504
                     39,                 0.6713,                 0.5477,                 1.0163,                0.81952,                0.88756,                0.92472,                0.75625,                0.72716,                0.65568,                 1.0525,             0.00070404,             0.00070404,             0.00070404
                     40,                0.64412,                0.53019,                 1.0117,                  0.892,                0.85457,                0.88625,                0.66334,                0.99028,                0.72578,                 1.2059,             0.00069304,             0.00069304,             0.00069304
                     41,                0.66648,                0.52095,                 1.0105,                0.88059,                0.89703,                0.91931,                0.75843,                 0.7073,                0.58459,                 1.0469,             0.00068204,             0.00068204,             0.00068204
                     42,                0.62401,                0.51034,                0.99649,                0.84937,                0.85859,                0.91344,                0.74274,                0.75246,                0.58708,                  1.069,             0.00067104,             0.00067104,             0.00067104
                     43,                0.64928,                0.50692,                 1.0134,                0.90956,                0.89015,                0.92307,                0.76162,                0.75135,                0.58193,                 1.0849,             0.00066005,             0.00066005,             0.00066005
                     44,                 0.6541,                0.51927,                 1.0095,                0.86568,                0.88297,                0.90339,                 0.7252,                0.74703,                0.55541,                 1.1029,             0.00064905,             0.00064905,             0.00064905
                     45,                0.63197,                0.48908,                  1.008,                0.93594,                0.90578,                0.94349,                0.77128,                0.73482,                0.51139,                 1.0528,             0.00063805,             0.00063805,             0.00063805
                     46,                0.66499,                0.51853,                 1.0037,                0.92539,                0.88681,                0.96106,                0.77217,                0.73705,                0.52996,                  1.054,             0.00062705,             0.00062705,             0.00062705
                     47,                0.60294,                0.47165,                 0.9991,                0.88518,                 0.8744,                0.92512,                0.76481,                0.71761,                 0.5534,                 1.0741,             0.00061605,             0.00061605,             0.00061605
                     48,                0.59835,                0.46697,                0.97087,                0.93624,                0.82589,                0.91202,                 0.7521,                0.70523,                0.56609,                 1.0736,             0.00060505,             0.00060505,             0.00060505
                     49,                0.62956,                0.47742,                0.99694,                0.81735,                0.88424,                0.90207,                0.73578,                0.79678,                0.59318,                 1.0998,             0.00059405,             0.00059405,             0.00059405
                     50,                 0.6026,                0.46849,                0.98669,                0.82238,                0.86415,                0.89544,                0.72258,                0.78544,                  0.564,                 1.1056,             0.00058305,             0.00058305,             0.00058305
                     51,                0.59773,                0.44304,                0.97594,                0.80286,                0.84306,                 0.8607,                  0.715,                0.78526,                0.65208,                 1.1375,             0.00057205,             0.00057205,             0.00057205
                     52,                0.64455,                 0.4825,                0.99762,                0.83852,                0.85631,                0.86029,                0.71651,                0.72396,                 0.6014,                 1.0707,             0.00056105,             0.00056105,             0.00056105
                     53,                0.62225,                0.48588,                0.97831,                0.74878,                0.88475,                0.85346,                0.70177,                0.73686,                0.59241,                 1.0657,             0.00055006,             0.00055006,             0.00055006
                     54,                0.62095,                0.48023,                0.99424,                0.77195,                0.83717,                0.85863,                0.70205,                0.80486,                0.74887,                 1.1108,             0.00053906,             0.00053906,             0.00053906
                     55,                0.62202,                0.47074,                 1.0024,                0.89386,                0.85278,                0.92554,                0.74969,                0.80114,                 0.6199,                 1.1157,             0.00052806,             0.00052806,             0.00052806
                     56,                0.59174,                0.46329,                0.97746,                0.84728,                0.81373,                0.89966,                 0.7542,                0.68809,                0.55594,                 1.0486,             0.00051706,             0.00051706,             0.00051706
                     57,                0.61192,                0.47293,                0.99014,                0.79987,                0.92094,                0.89265,                0.70175,                0.77886,                0.59094,                 1.1305,             0.00050606,             0.00050606,             0.00050606
                     58,                 0.5681,                0.43316,                0.96936,                0.85378,                 0.9603,                0.93355,                0.73747,                0.77642,                0.55458,                 1.1399,             0.00049506,             0.00049506,             0.00049506
                     59,                0.58688,                0.44174,                0.99051,                0.82849,                  0.888,                0.88856,                0.72446,                0.75538,                0.54547,                 1.1058,             0.00048406,             0.00048406,             0.00048406
                     60,                0.58849,                0.45017,                0.97732,                0.79416,                0.90247,                0.91121,                 0.7342,                0.77554,                0.54683,                  1.097,             0.00047306,             0.00047306,             0.00047306
                     61,                0.55539,                0.42955,                0.96449,                0.78849,                0.87956,                0.89367,                0.73068,                0.71734,                0.55555,                 1.0678,             0.00046206,             0.00046206,             0.00046206
                     62,                0.56369,                0.43196,                0.96457,                0.81536,                0.82479,                0.85853,                0.69918,                0.75093,                0.61506,                  1.111,             0.00045107,             0.00045107,             0.00045107
                     63,                0.55938,                0.41673,                  0.972,                0.81096,                0.90511,                0.88543,                0.72978,                0.70766,                0.58978,                 1.1105,             0.00044007,             0.00044007,             0.00044007
                     64,                0.56201,                0.43569,                0.97266,                0.81417,                0.84848,                0.85998,                0.71662,                0.71237,                 0.5912,                 1.0747,             0.00042907,             0.00042907,             0.00042907
                     65,                0.55783,                0.43259,                0.96588,                0.85507,                0.89176,                0.91689,                0.77606,                0.69079,                0.55389,                 1.0712,             0.00041807,             0.00041807,             0.00041807
                     66,                0.53826,                0.39476,                0.96615,                0.92701,                0.87891,                0.91913,                0.79793,                 0.6514,                0.52251,                   1.05,             0.00040707,             0.00040707,             0.00040707
                     67,                0.54669,                0.39712,                0.97106,                0.90005,                0.88592,                 0.9331,                0.80621,                0.65169,                0.51484,                 1.0373,             0.00039607,             0.00039607,             0.00039607
                     68,                0.53729,                0.39834,                  0.958,                0.91209,                 0.8184,                0.90967,                 0.7889,                0.64521,                0.58689,                 1.0036,             0.00038507,             0.00038507,             0.00038507
                     69,                0.51891,                0.40009,                0.95403,                 0.9188,                0.81965,                0.91873,                0.77815,                0.67946,                  0.591,                 1.0387,             0.00037407,             0.00037407,             0.00037407
                     70,                0.51681,                0.38059,                0.96122,                0.90675,                0.87153,                0.94382,                0.80156,                0.66794,                0.52565,                 1.0266,             0.00036307,             0.00036307,             0.00036307
