                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1117,                0.73643,                0.84094,                0.66184,                0.64762,                0.68223,                0.33073,                 1.6972,                 1.5174,                 0.9575,             0.00025553,             0.00025553,             0.00025553
                      2,                 1.1499,                 0.7184,                0.86269,                0.70455,                0.50476,                0.59333,                0.27316,                 1.8172,                 1.8117,                0.96495,               0.000517,               0.000517,               0.000517
                      3,                 1.1707,                0.73524,                0.85891,                0.67939,                0.60546,                0.64776,                0.30208,                 1.7015,                 1.5564,                0.94975,             0.00077319,             0.00077319,             0.00077319
                      4,                 1.2212,                 0.7467,                0.87447,                0.77057,                0.60952,                0.67366,                0.32351,                 1.6828,                 1.4044,                0.95161,              0.0010241,              0.0010241,              0.0010241
                      5,                 1.2158,                0.78077,                0.88199,                0.71791,                0.53333,                0.62414,                0.25295,                 1.9096,                 1.3972,                0.96567,               0.001067,               0.001067,               0.001067
                      6,                 1.2214,                0.77617,                0.86949,                0.66971,                0.56004,                0.62884,                0.28438,                 1.7319,                 1.4459,                0.96199,               0.001067,               0.001067,               0.001067
                      7,                 1.2545,                0.81742,                0.90624,                 0.7351,                0.55238,                0.61753,                0.26081,                 1.8089,                 1.4895,                0.96597,               0.001056,               0.001056,               0.001056
                      8,                 1.2284,                0.77584,                0.88445,                0.71393,                0.50476,                0.57827,                0.23215,                 1.9047,                 1.5913,                 0.9686,               0.001045,               0.001045,               0.001045
                      9,                 1.2654,                0.80274,                 0.8961,                0.62237,                0.57143,                0.53789,                0.23282,                  1.786,                 1.6607,                0.97057,               0.001034,               0.001034,               0.001034
                     10,                 1.3132,                0.80787,                0.90551,                0.63626,                0.62857,                0.60706,                0.24408,                 1.8489,                 1.7574,                0.98026,               0.001023,               0.001023,               0.001023
                     11,                 1.2631,                0.75799,                0.88702,                 0.6267,                0.61905,                0.62163,                0.24882,                 1.8794,                 1.6611,                0.96799,               0.001012,               0.001012,               0.001012
                     12,                 1.2659,                0.78291,                 0.8894,                 0.7248,                0.49524,                0.59459,                0.23772,                 1.9225,                 1.9179,                0.97146,               0.001001,               0.001001,               0.001001
                     13,                 1.1852,                 0.7453,                0.89518,                0.61612,                0.62857,                0.59582,                0.26156,                  2.019,                 1.5758,                0.98864,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.2253,                0.79565,                0.87783,                0.74688,                0.62857,                0.64792,                 0.3006,                 1.6951,                 1.4131,                 0.9574,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.2384,                0.82071,                0.87502,                0.67761,                0.54049,                0.56446,                0.25898,                 1.7974,                 1.7133,                0.97652,             0.00096801,             0.00096801,             0.00096801
                     16,                  1.264,                0.79441,                0.88599,                0.67611,                0.57143,                0.60865,                0.27553,                 1.7848,                 1.8256,                0.95795,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.2953,                0.82682,                0.89071,                 0.6493,                0.58095,                0.57855,                0.23987,                 1.8782,                 1.6408,                0.97811,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.2447,                0.77063,                0.89249,                0.73148,                0.48571,                0.57302,                0.23322,                 1.7914,                  1.702,                0.96315,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.2211,                0.75973,                0.88109,                0.79442,                0.58887,                0.67105,                0.30736,                 1.8409,                 1.4039,                0.98607,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.1675,                0.73308,                0.87758,                0.67156,                    0.6,                0.66319,                0.30339,                 1.8386,                 1.5131,                0.97375,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.1878,                 0.7533,                0.87123,                0.74009,                0.47619,                0.57196,                0.25654,                 1.8787,                 1.6317,                0.98729,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.2463,                0.78238,                0.89262,                0.73951,                0.56782,                0.64129,                0.30215,                 1.7811,                 1.5263,                0.96383,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.2402,                0.76173,                0.88366,                0.66859,                 0.6381,                0.62755,                0.28662,                 1.8223,                 1.5432,                0.94925,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.2214,                0.75371,                0.87281,                0.58409,                0.59048,                0.59754,                0.27218,                 1.7103,                 1.5837,                0.93737,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.1868,                0.73132,                0.87319,                0.68176,                0.58095,                0.61152,                0.27706,                  1.738,                 1.5739,                0.93801,             0.00085803,             0.00085803,             0.00085803
                     26,                  1.167,                0.73528,                0.87223,                0.70244,                0.60704,                0.65736,                0.32921,                 1.6734,                 1.5605,                0.94978,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.1978,                0.74362,                0.86502,                 0.8024,                    0.6,                0.64886,                0.31231,                 1.6869,                 1.5531,                 0.9492,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.1625,                0.70337,                0.88172,                0.70423,                0.56693,                0.60468,                0.29887,                 1.7593,                 1.9297,                0.96073,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.1745,                0.71841,                0.86281,                0.74923,                0.58095,                0.64216,                0.31905,                 1.7245,                 1.6601,                0.95679,             0.00081403,             0.00081403,             0.00081403
                     30,                 1.1909,                0.71894,                0.87667,                0.76166,                0.54787,                0.62623,                0.31694,                 1.6805,                 1.6186,                0.94226,             0.00080303,             0.00080303,             0.00080303
                     31,                  1.176,                0.72303,                0.86454,                0.72625,                0.60642,                0.64938,                0.30458,                 1.7583,                 1.3958,                0.94349,             0.00079203,             0.00079203,             0.00079203
                     32,                 1.1214,                0.70673,                0.87108,                0.75283,                0.60952,                0.63681,                0.27194,                 1.8985,                 1.4593,                0.96646,             0.00078103,             0.00078103,             0.00078103
                     33,                 1.2053,                0.71084,                0.85426,                0.74028,                0.62857,                0.68344,                0.29837,                 1.8193,                 1.4959,                0.94744,             0.00077003,             0.00077003,             0.00077003
                     34,                 1.1777,                0.71038,                0.86308,                0.70923,                 0.6381,                0.67394,                0.29514,                 1.7932,                 1.4448,                0.95822,             0.00075904,             0.00075904,             0.00075904
                     35,                 1.1591,                0.67936,                0.87175,                0.81903,                0.58095,                0.65584,                0.33126,                 1.7027,                 1.6903,                0.94481,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.1873,                0.71152,                0.85272,                 0.6779,                0.58129,                0.67326,                0.31046,                 1.6975,                 1.6251,                0.95397,             0.00073704,             0.00073704,             0.00073704
