                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81394,                0.74557,                 1.0192,                0.72805,                0.79955,                0.74295,                0.58916,                0.80697,                0.84871,                0.94422,              0.0002222,              0.0002222,              0.0002222
                      2,                0.77456,                0.73219,                0.99434,                0.68758,                0.78087,                0.81984,                0.63118,                0.84392,                0.85132,                0.96782,             0.00041041,             0.00041041,             0.00041041
                      3,                0.78782,                0.68772,                0.98309,                0.64513,                0.77573,                0.76689,                0.57272,                0.87867,                0.88501,                0.98786,             0.00055243,             0.00055243,             0.00055243
                      4,                0.81016,                0.68253,                  1.004,                0.65635,                0.79916,                0.79488,                0.61744,                0.85302,                0.85449,                0.99061,             0.00064826,             0.00064826,             0.00064826
                      5,                0.83859,                0.70899,                  1.042,                0.64944,                0.76844,                0.73885,                0.57791,                0.93892,                 1.0424,                 1.0077,             0.00067104,             0.00067104,             0.00067104
                      6,                0.85664,                0.72165,                 1.0111,                0.66293,                0.80146,                0.80274,                0.62618,                0.86417,                0.87234,                0.98453,             0.00067104,             0.00067104,             0.00067104
                      7,                0.86602,                0.71181,                  1.029,                0.65781,                 0.7962,                0.77875,                0.60925,                0.84903,                0.88013,                0.97995,             0.00056105,             0.00056105,             0.00056105
                      8,                 0.8004,                0.64542,                  1.011,                0.82286,                0.74209,                0.81803,                0.65946,                0.87278,                0.91102,                0.96748,             0.00045107,             0.00045107,             0.00045107
                      9,                0.80289,                0.66316,                0.99196,                0.73736,                0.77586,                0.75656,                0.58846,                 0.8521,                0.84308,                0.98551,             0.00034108,             0.00034108,             0.00034108
                     10,                0.76754,                0.58895,                0.97108,                0.66965,                0.76867,                0.74606,                0.60203,                0.81469,                0.79242,                0.97495,             0.00023109,             0.00023109,             0.00023109
