                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89054,                 3.1856,                 1.1378,                0.56063,                0.62851,                0.67896,                0.54655,                 0.7268,                 1.8526,                 1.0077,              0.0002222,              0.0002222,              0.0002222
                      2,                0.85857,                 1.7575,                 1.0806,                0.76835,                 0.7051,                0.75928,                0.61978,                0.72528,                 1.3738,                0.96268,             0.00041041,             0.00041041,             0.00041041
                      3,                0.92454,                 1.2739,                 1.1197,                0.85888,                0.70568,                0.77864,                0.61787,                 0.8048,                 1.1864,                0.99853,             0.00055243,             0.00055243,             0.00055243
                      4,                0.89698,                  1.087,                 1.0934,                0.63263,                0.76556,                0.77367,                0.62001,                0.86597,                 1.0879,                 1.0242,             0.00064826,             0.00064826,             0.00064826
                      5,                0.95231,                0.99293,                 1.1335,                0.91058,                0.68593,                0.78166,                0.59564,                0.84012,                  1.069,                0.99553,             0.00067104,             0.00067104,             0.00067104
                      6,                0.94267,                0.91685,                 1.1023,                0.76064,                0.67155,                0.72874,                0.54598,                0.88055,                 1.1307,                 1.0379,             0.00067104,             0.00067104,             0.00067104
                      7,                  1.017,                0.99123,                 1.1247,                0.80346,                0.60245,                0.74808,                0.54871,                0.95578,                 1.0614,                 1.0889,             0.00056105,             0.00056105,             0.00056105
                      8,                0.92448,                0.88633,                 1.1159,                0.74719,                0.72137,                0.76714,                0.61066,                0.83195,                0.91161,                0.99859,             0.00045107,             0.00045107,             0.00045107
                      9,                0.87583,                0.79153,                 1.0677,                0.89784,                0.70554,                0.81567,                0.64504,                0.81484,                0.90932,                0.99038,             0.00034108,             0.00034108,             0.00034108
                     10,                0.82108,                0.73551,                 1.0115,                0.73305,                0.82037,                0.83646,                 0.6588,                0.78017,                0.85055,                0.99266,             0.00023109,             0.00023109,             0.00023109
